ID,TEXT_EN,TEXT_JP,TEXT_CNS,TEXT_CNT
0,大型史莱姆,大型史莱姆,大型史莱姆,大型史莱姆
1,妖怪队长,妖怪队长,妖怪队长,妖怪队长
2,赤眼灰狼,赤眼灰狼,赤眼灰狼,赤眼灰狼
3,大型石头怪,大型石头怪,大型石头怪,大型石头怪
4,赤焰狩蜂,赤焰狩蜂,赤焰狩蜂,赤焰狩蜂
5,狂暴史莱姆,狂暴史莱姆,狂暴史莱姆,狂暴史莱姆
6,妖怪首领,妖怪首领,妖怪首领,妖怪首领
7,枯树妖,枯树妖,枯树妖,枯树妖
8,大型石头人,大型石头人,大型石头人,大型石头人
9,风风怪,风风怪,风风怪,风风怪
10,钢铁史莱姆,钢铁史莱姆,钢铁史莱姆,钢铁史莱姆
11,凶恶妖怪队长,凶恶妖怪队长,凶恶妖怪队长,凶恶妖怪队长
12,巨齿黑狼,巨齿黑狼,巨齿黑狼,巨齿黑狼
13,巨型金属怪,巨型金属怪,巨型金属怪,巨型金属怪
14,幻影蛾,幻影蛾,幻影蛾,幻影蛾
15,大型污泥怪,大型污泥怪,大型污泥怪,大型污泥怪
16,凶恶妖怪首领,凶恶妖怪首领,凶恶妖怪首领,凶恶妖怪首领
17,暗黑枯树妖,暗黑枯树妖,暗黑枯树妖,暗黑枯树妖
18,岩石巨人,岩石巨人,岩石巨人,岩石巨人
19,僵尸老大,僵尸老大,僵尸老大,僵尸老大
20,哥布林巨人,哥布林巨人,哥布林巨人,哥布林巨人
21,三头犬,三头犬,三头犬,三头犬
22,红斑巨蟒,红斑巨蟒,红斑巨蟒,红斑巨蟒
23,狂暴妖怪队长,狂暴妖怪队长,狂暴妖怪队长,狂暴妖怪队长
24,机械巨像,机械巨像,机械巨像,机械巨像
25,啮咬魔眼,啮咬魔眼,啮咬魔眼,啮咬魔眼
26,狂暴妖怪首领,狂暴妖怪首领,狂暴妖怪首领,狂暴妖怪首领
27,凶残剑齿虎,凶残剑齿虎,凶残剑齿虎,凶残剑齿虎
28,独眼巨人,独眼巨人,独眼巨人,独眼巨人
29,智龙,智龙,智龙,智龙
