ID,TEXT_EN,TEXT_JP,TEXT_CNS,TEXT_CNT
0,史莱姆,史莱姆,史莱姆,史莱姆
1,小妖怪,小妖怪,小妖怪,小妖怪
2,灰狼,灰狼,灰狼,灰狼
3,石头怪,石头怪,石头怪,石头怪
4,巨型黄蜂,巨型黄蜂,巨型黄蜂,巨型黄蜂
5,凶恶史莱姆,凶恶史莱姆,凶恶史莱姆,凶恶史莱姆
6,大妖怪,大妖怪,大妖怪,大妖怪
7,树妖,树妖,树妖,树妖
8,石头人,石头人,石头人,石头人
9,嗖嗖怪,嗖嗖怪,嗖嗖怪,嗖嗖怪
10,金属史莱姆,金属史莱姆,金属史莱姆,金属史莱姆
11,凶恶妖怪,凶恶妖怪,凶恶妖怪,凶恶妖怪
12,黑狼,黑狼,黑狼,黑狼
13,金属怪,金属怪,金属怪,金属怪
14,暗影蛾,暗影蛾,暗影蛾,暗影蛾
15,污泥怪,污泥怪,污泥怪,污泥怪
16,凶恶大妖怪,凶恶大妖怪,凶恶大妖怪,凶恶大妖怪
17,暗黑树妖,暗黑树妖,暗黑树妖,暗黑树妖
18,巨岩怪,巨岩怪,巨岩怪,巨岩怪
19,小僵尸,小僵尸,小僵尸,小僵尸
20,哥布林,哥布林,哥布林,哥布林
21,双头犬,双头犬,双头犬,双头犬
22,蟒蛇,蟒蛇,蟒蛇,蟒蛇
23,狂暴妖怪,狂暴妖怪,狂暴妖怪,狂暴妖怪
24,石巨像,石巨像,石巨像,石巨像
25,魔眼,魔眼,魔眼,魔眼
26,狂暴大妖怪,狂暴大妖怪,狂暴大妖怪,狂暴大妖怪
27,剑齿虎,剑齿虎,剑齿虎,剑齿虎
28,独眼怪,独眼怪,独眼怪,独眼怪
29,呆龙,呆龙,呆龙,呆龙
