ID,Area,Level,EXP,Aura,DimensionChip
0,0,0,27,45,1
1,0,1,54,81,1
2,0,2,63,99,1
3,0,3,90,153,1
4,0,4,135,198,1
5,0,5,207,225,1
6,0,6,315,360,1
7,0,7,405,405,1
8,0,8,540,450,1
9,0,9,656,437,1
10,1,0,729,473,1
11,1,1,874,561,1
12,1,2,1020,619,1
13,1,3,1239,721,1
14,1,4,1385,794,1
15,1,5,1603,874,1
16,1,6,1822,947,1
17,1,7,2114,1093,1
18,1,8,2332,1166,1
19,1,9,2250,1125,1
20,2,0,3062,750,2
21,2,1,2750,1312,2
22,2,2,3000,1437,2
23,2,3,3312,1500,2
24,2,4,3562,1625,2
25,2,5,3875,1750,2
26,2,6,4187,1875,2
27,2,7,4687,2000,2
28,2,8,5125,2312,2
29,2,9,5500,2500,2
